Name,Game,Area,Location
Basculin (Blue-striped),Sword,Crown Tundra,Dynamax Adventure
Basculin (Red-striped),Scarlet,Paldea,3☆
Basculin (Red-striped),Shield,Crown Tundra,Dynamax Adventure
Basculin (Red-striped),Sword,Crown Tundra,Den 162
Basculin (Red-striped),Sword,Crown Tundra,Den 163
Basculin (Red-striped),Sword,Crown Tundra,Dynamax Adventure
Basculin (Red-striped),Sword,Galar,Den 44
Basculin (Red-striped),Sword,Galar,Den 67
Basculin (Red-striped),Sword,Galar,Den 7
Basculin (Red-striped),Sword,Galar,Den 76
Basculin (Red-striped),Sword,Galar,Den 78
Basculin (Red-striped),Sword,Galar,Den 8
Basculin (Red-striped),Sword,Galar,Den 91
Basculin (Red-striped),Sword,Isle of Armor,Den 136
Basculin (Red-striped),Sword,Isle of Armor,Den 148
Basculin (Red-striped),Violet,Paldea,3☆
Basculin (White-striped),Scarlet,Kitakami,3☆
Basculin (White-striped),Violet,Kitakami,3☆
Bastiodon,Violet,Terarium,4☆
Baxcalibur,Scarlet,Paldea,5☆
Baxcalibur,Scarlet,Paldea,6☆
Baxcalibur,Violet,Paldea,5☆
Baxcalibur,Violet,Paldea,6☆
Beartic,Scarlet,Paldea,4☆
Beartic,Shield,Crown Tundra,Den 170
Beartic,Shield,Crown Tundra,Dynamax Adventure
Beartic,Shield,Galar,Den 22
Beartic,Shield,Isle of Armor,Den 147
Beartic,Sword,Crown Tundra,Den 170
Beartic,Sword,Crown Tundra,Dynamax Adventure
Beartic,Sword,Galar,Den 22
Beartic,Sword,Isle of Armor,Den 147
Beartic,Violet,Paldea,4☆
Beheeyem,Shield,Crown Tundra,Dynamax Adventure
Beheeyem,Shield,Isle of Armor,Den 118
Beheeyem,Sword,Crown Tundra,Dynamax Adventure
Beheeyem,Sword,Isle of Armor,Den 118
Beldum,Scarlet,Terarium,3☆
Beldum,Shield,Crown Tundra,Den 188
Beldum,Sword,Crown Tundra,Den 188
Beldum,Violet,Terarium,3☆
Bellibolt,Scarlet,Paldea,4☆
Bellibolt,Violet,Paldea,4☆
Bellossom,Scarlet,Terarium,4☆
Bellossom,Shield,Crown Tundra,Dynamax Adventure
Bellossom,Shield,Galar,Den 26
Bellossom,Sword,Crown Tundra,Dynamax Adventure
Bellossom,Sword,Galar,Den 26
Bellossom,Violet,Terarium,4☆
Bellsprout,Scarlet,Kitakami,2☆
Bellsprout,Violet,Kitakami,2☆
Bergmite,Scarlet,Paldea,3☆
Bergmite,Shield,Galar,Den 21
Bergmite,Shield,Galar,Den 55
Bergmite,Shield,Galar,Den 73
Bergmite,Shield,Galar,Den 83
Bergmite,Sword,Crown Tundra,Den 170
Bergmite,Sword,Galar,Den 21
Bergmite,Sword,Galar,Den 55
Bergmite,Sword,Galar,Den 73
Bergmite,Violet,Paldea,3☆
Bewear,Shield,Crown Tundra,Dynamax Adventure
Bewear,Shield,Galar,Den 10
Bewear,Shield,Galar,Den 39
Bewear,Shield,Galar,Den 48
Bewear,Shield,Isle of Armor,Den 100
Bewear,Sword,Crown Tundra,Dynamax Adventure
Bewear,Sword,Galar,Den 10
Bewear,Sword,Galar,Den 39
Bewear,Sword,Galar,Den 48
Bewear,Sword,Galar,Den 81
Bewear,Sword,Isle of Armor,Den 100
Binacle,Shield,Galar,Den 15
Binacle,Shield,Galar,Den 3
Binacle,Shield,Galar,Den 42
Binacle,Shield,Galar,Den 76
Binacle,Shield,Isle of Armor,Den 138
Binacle,Shield,Isle of Armor,Den 146
Binacle,Shield,Isle of Armor,Den 147
Binacle,Sword,Galar,Den 15
Binacle,Sword,Galar,Den 3
Binacle,Sword,Galar,Den 42
Binacle,Sword,Galar,Den 51
Binacle,Sword,Galar,Den 76
Binacle,Sword,Galar,Den 83
Binacle,Sword,Isle of Armor,Den 138
Binacle,Sword,Isle of Armor,Den 146
Binacle,Sword,Isle of Armor,Den 147
Bisharp,Scarlet,Paldea,4☆
Bisharp,Shield,Crown Tundra,Dynamax Adventure
Bisharp,Shield,Galar,Den 11
Bisharp,Shield,Galar,Den 12
Bisharp,Shield,Galar,Den 35
Bisharp,Shield,Galar,Den 45
Bisharp,Shield,Galar,Den 49
Bisharp,Shield,Galar,Den 69
Bisharp,Shield,Galar,Den 84
Bisharp,Shield,Galar,Den 85
Bisharp,Shield,Isle of Armor,Den 121
Bisharp,Shield,Isle of Armor,Den 129
Bisharp,Shield,Isle of Armor,Den 130
Bisharp,Sword,Crown Tundra,Dynamax Adventure
Bisharp,Sword,Galar,Den 11
Bisharp,Sword,Galar,Den 12
Bisharp,Sword,Galar,Den 35
Bisharp,Sword,Galar,Den 45
Bisharp,Sword,Galar,Den 49
Bisharp,Sword,Galar,Den 69
Bisharp,Sword,Galar,Den 84
Bisharp,Sword,Galar,Den 85
Bisharp,Sword,Isle of Armor,Den 121
Bisharp,Sword,Isle of Armor,Den 129
Bisharp,Sword,Isle of Armor,Den 130
Bisharp,Violet,Paldea,4☆
Blacephalon,Shield,Crown Tundra,Dynamax Adventure
Blacephalon,Sword,Crown Tundra,Dynamax Adventure
Blastoise,Shield,Isle of Armor,Den 146
Blastoise,Shield,Isle of Armor,Den 155
Blastoise,Sword,Isle of Armor,Den 146
Blastoise,Sword,Isle of Armor,Den 155
Blaziken,Shield,Crown Tundra,Dynamax Adventure
Blaziken,Sword,Crown Tundra,Dynamax Adventure
Blipbug,Shield,Galar,Den 13
Blipbug,Shield,Galar,Den 46
Blipbug,Shield,Galar,Den 5
Blipbug,Shield,Galar,Den 90
Blipbug,Shield,Galar,Den 92
Blipbug,Shield,Isle of Armor,Den 149
Blipbug,Sword,Galar,Den 13
Blipbug,Sword,Galar,Den 46
Blipbug,Sword,Galar,Den 5
Blipbug,Sword,Galar,Den 90
Blipbug,Sword,Galar,Den 92
Blipbug,Sword,Isle of Armor,Den 149
Blissey,Scarlet,Paldea,5☆
Blissey,Scarlet,Paldea,6☆
Blissey,Shield,Isle of Armor,Den 100
Blissey,Shield,Isle of Armor,Den 102
Blissey,Shield,Isle of Armor,Den 104
Blissey,Shield,Isle of Armor,Den 106
Blissey,Shield,Isle of Armor,Den 108
Blissey,Shield,Isle of Armor,Den 110
Blissey,Shield,Isle of Armor,Den 112
Blissey,Shield,Isle of Armor,Den 114
Blissey,Shield,Isle of Armor,Den 116
Blissey,Shield,Isle of Armor,Den 118
Blissey,Shield,Isle of Armor,Den 120
Blissey,Shield,Isle of Armor,Den 122
Blissey,Shield,Isle of Armor,Den 124
Blissey,Shield,Isle of Armor,Den 126
Blissey,Shield,Isle of Armor,Den 128
Blissey,Shield,Isle of Armor,Den 130
Blissey,Shield,Isle of Armor,Den 132
Blissey,Shield,Isle of Armor,Den 134
Blissey,Shield,Isle of Armor,Den 136
Blissey,Shield,Isle of Armor,Den 138
Blissey,Shield,Isle of Armor,Den 140
Blissey,Shield,Isle of Armor,Den 141
Blissey,Shield,Isle of Armor,Den 142
Blissey,Shield,Isle of Armor,Den 144
Blissey,Shield,Isle of Armor,Den 145
Blissey,Shield,Isle of Armor,Den 146
Blissey,Shield,Isle of Armor,Den 147
Blissey,Shield,Isle of Armor,Den 148
Blissey,Shield,Isle of Armor,Den 149
Blissey,Shield,Isle of Armor,Den 150
Blissey,Shield,Isle of Armor,Den 151
Blissey,Shield,Isle of Armor,Den 153
Blissey,Shield,Isle of Armor,Den 157
Blissey,Sword,Isle of Armor,Den 100
Blissey,Sword,Isle of Armor,Den 102
Blissey,Sword,Isle of Armor,Den 104
Blissey,Sword,Isle of Armor,Den 106
Blissey,Sword,Isle of Armor,Den 108
Blissey,Sword,Isle of Armor,Den 110
Blissey,Sword,Isle of Armor,Den 112
Blissey,Sword,Isle of Armor,Den 114
Blissey,Sword,Isle of Armor,Den 116
Blissey,Sword,Isle of Armor,Den 118
Blissey,Sword,Isle of Armor,Den 120
Blissey,Sword,Isle of Armor,Den 122
Blissey,Sword,Isle of Armor,Den 124
Blissey,Sword,Isle of Armor,Den 126
Blissey,Sword,Isle of Armor,Den 128
Blissey,Sword,Isle of Armor,Den 130
Blissey,Sword,Isle of Armor,Den 132
Blissey,Sword,Isle of Armor,Den 134
Blissey,Sword,Isle of Armor,Den 136
Blissey,Sword,Isle of Armor,Den 138
Blissey,Sword,Isle of Armor,Den 140
Blissey,Sword,Isle of Armor,Den 141
Blissey,Sword,Isle of Armor,Den 142
Blissey,Sword,Isle of Armor,Den 144
Blissey,Sword,Isle of Armor,Den 145
Blissey,Sword,Isle of Armor,Den 146
Blissey,Sword,Isle of Armor,Den 147
Blissey,Sword,Isle of Armor,Den 148
Blissey,Sword,Isle of Armor,Den 149
Blissey,Sword,Isle of Armor,Den 150
Blissey,Sword,Isle of Armor,Den 151
Blissey,Sword,Isle of Armor,Den 153
Blissey,Sword,Isle of Armor,Den 157
Blissey,Violet,Paldea,5☆
Blissey,Violet,Paldea,6☆
Blitzle,Scarlet,Terarium,1☆
Blitzle,Violet,Terarium,1☆
Boldore,Shield,Crown Tundra,Dynamax Adventure
Boldore,Shield,Galar,Den 15
Boldore,Shield,Galar,Den 3
Boldore,Shield,Isle of Armor,Den 115
Boldore,Sword,Crown Tundra,Dynamax Adventure
Boldore,Sword,Galar,Den 15
Boldore,Sword,Galar,Den 3
Boldore,Sword,Isle of Armor,Den 115
Boltund,Shield,Crown Tundra,Den 164
Boltund,Shield,Crown Tundra,Den 165
Boltund,Shield,Crown Tundra,Dynamax Adventure
Boltund,Shield,Galar,Den 25
Boltund,Shield,Galar,Den 56
Boltund,Shield,Galar,Den 72
Boltund,Shield,Isle of Armor,Den 106
Boltund,Sword,Crown Tundra,Den 164
Boltund,Sword,Crown Tundra,Den 165
Boltund,Sword,Crown Tundra,Dynamax Adventure
Boltund,Sword,Galar,Den 25
Boltund,Sword,Galar,Den 56
Boltund,Sword,Galar,Den 72
Boltund,Sword,Isle of Armor,Den 106
Bombirdier,Scarlet,Paldea,5☆
Bombirdier,Scarlet,Paldea,6☆
Bombirdier,Violet,Paldea,5☆
Bombirdier,Violet,Paldea,6☆
Bonsly,Scarlet,Paldea,1☆
Bonsly,Shield,Galar,Den 3
Bonsly,Shield,Galar,Den 51
Bonsly,Shield,Isle of Armor,Den 116
Bonsly,Sword,Galar,Den 3
Bonsly,Sword,Galar,Den 51
Bonsly,Sword,Galar,Den 83
Bonsly,Sword,Isle of Armor,Den 116
Bonsly,Violet,Paldea,1☆
Bouffalant,Shield,Crown Tundra,Dynamax Adventure
Bouffalant,Shield,Isle of Armor,Den 101
Bouffalant,Shield,Isle of Armor,Den 102
Bouffalant,Sword,Crown Tundra,Dynamax Adventure
Bouffalant,Sword,Isle of Armor,Den 101
Bouffalant,Sword,Isle of Armor,Den 102
Bounsweet,Scarlet,Paldea,1☆
Bounsweet,Shield,Galar,Den 26
Bounsweet,Shield,Galar,Den 70
Bounsweet,Sword,Galar,Den 26
Bounsweet,Sword,Galar,Den 70
Bounsweet,Violet,Paldea,1☆
Brambleghast,Scarlet,Paldea,5☆
Brambleghast,Violet,Paldea,5☆
Bramblin,Scarlet,Paldea,2☆
Bramblin,Violet,Paldea,2☆
Braviary,Scarlet,Paldea,5☆
Braviary,Sword,Galar,Den 31
Braviary,Sword,Galar,Den 40
Braviary,Sword,Galar,Den 65
Braviary,Sword,Isle of Armor,Den 107
Braviary,Sword,Isle of Armor,Den 108
Braviary,Violet,Paldea,5☆
Breloom,Scarlet,Paldea,5☆
Breloom,Scarlet,Paldea,6☆
Breloom,Violet,Paldea,5☆
Breloom,Violet,Paldea,6☆
Bronzong,Scarlet,Paldea,5☆
